,tconst,originalTitle,startYear,genres,averageRating,numVotes
30617,tt7053290,Hugo: A Hidden Past Revealed,2017.0,"Adventure,Documentary,History",9.3,6
19036,tt5375100,Paint Drying,2016.0,Documentary,9.3,258
30685,tt7067028,Beneath the Black: A Journey Through New Zealand Rugby,2017.0,Documentary,9.3,10
19116,tt5421660,"Hey Mom, Whats Sex?",2016.0,Documentary,9.3,21
16658,tt5103678,School Time for Miss Roma,2015.0,Documentary,9.3,6
33369,tt7541970,From Shock to Awe,2019.0,"Documentary,War",9.3,20
38508,tt8718580,Eghantham,2018.0,Drama,9.3,645
19295,tt5450080,The Fence,2016.0,Documentary,9.3,50
1786,tt10773380,I Am Not Alone,2019.0,Documentary,9.3,106
1839,tt10809946,Claire,2019.0,Documentary,9.3,20
41199,tt9536804,Blessed,2018.0,Documentary,9.3,9
36876,tt8292528,Altin Fircali Adam,2018.0,Documentary,9.3,60
18876,tt5355180,Iron Knight: Lou Gehrig,2015.0,"Documentary,Sport",9.3,6
16695,tt5106096,A Different Life,2016.0,Documentary,9.3,12
39844,tt9064028,The Least Professional Broadcaster,2018.0,Documentary,9.3,114
29302,tt6818096,Crohnprinsessen,2017.0,Documentary,9.3,40
14042,tt4777694,Cuero y Tinta,2015.0,Documentary,9.3,6
11585,tt4444346,"Amazonas, el camino de la cocaína",2015.0,Documentary,9.3,6
38237,tt8653606,Daydream Believers,2018.0,Documentary,9.3,15
41638,tt9680166,Yeh Suhaagraat Impossible,2019.0,Comedy,9.3,481
5920,tt3302266,A Perfect 14,2018.0,Documentary,9.3,6
2473,tt11213014,Partida,2019.0,Documentary,9.3,6
6027,tt3328056,Mount Lawrence,2015.0,"Adventure,Documentary,Family",9.3,47
23037,tt5917344,We Can Be Heroes,2017.0,Adventure,9.3,7
31652,tt7242256,Grandson,2018.0,Documentary,9.3,7
2645,tt11377142,Route 66,2019.0,Adventure,9.3,30
8898,tt3981736,Le feu sacré,2015.0,Documentary,9.3,7
8355,tt3856476,Sunakali,2017.0,"Documentary,Family,Musical",9.3,19
13909,tt4760382,Christian Audigier the Vif,2017.0,Documentary,9.3,64
38051,tt8591046,He Dreams of Giants,2019.0,Documentary,9.3,6
32963,tt7476472,Point of No Return,2017.0,Documentary,9.3,6
36496,tt8191742,Let's Kill Mom,2019.0,"Comedy,Crime",9.3,7
23114,tt5926914,The Lost Idea,2018.0,"Drama,Fantasy",9.3,32
31939,tt7292828,Made in Vietnam,2017.0,Documentary,9.3,28
25947,tt6258178,The White Coat Chef,2016.0,Documentary,9.3,7
40738,tt9343826,Ananthu V/S Nusrath,2018.0,"Comedy,Drama,Family",9.3,805
17702,tt5213932,The Summer Help,2016.0,Documentary,9.3,10
20704,tt5624252,That Vitamin Movie,2016.0,Documentary,9.3,932
20291,tt5575886,Balentes,2018.0,"Biography,Documentary",9.3,9
16933,tt5128518,Sewol,2015.0,Documentary,9.3,7
2608,tt11351186,Und vorne hilft der liebe Gott,2018.0,Documentary,9.3,17
8685,tt3920118,Avenues of Escape,2017.0,Documentary,9.2,9
24059,tt6047452,Free,2015.0,Documentary,9.2,11
38219,tt8649560,Syria - The Impossible Revolution,2018.0,Documentary,9.2,6
23051,tt5918414,Weaving Shibusa,2016.0,Documentary,9.2,10
4748,tt2877530,You See Me,2015.0,"Documentary,Family,History",9.2,66
24775,tt6125502,Stingray Sisters,2016.0,Documentary,9.2,5
34767,tt7808528,Hoops Africa: Ubuntu Matters,2017.0,Documentary,9.2,26
11386,tt4418908,Memoirs of a Broken Mind,2015.0,Drama,9.2,23
24047,tt6045964,ZERO Made in india,2016.0,Drama,9.2,20
555,tt10214220,Maxima,2019.0,Documentary,9.2,11
40706,tt9328986,This Little Land of Mines,2019.0,"Documentary,Drama,News",9.2,5
41764,tt9743544,The Wedding Present: Something Left Behind,2018.0,Documentary,9.2,14
4790,tt2908486,Bieber Generation,2018.0,Documentary,9.2,16
30191,tt6973238,Rehab: Lives Addicted,2017.0,Documentary,9.2,6
4816,tt2920818,Red Right Return,2015.0,Drama,9.2,60
29154,tt6793300,Under the Clock,2018.0,Documentary,9.2,10
22430,tt5837046,"Curiosity, Adventure & Love",2016.0,Documentary,9.2,34
24244,tt6071862,Niascharian. Taina,2016.0,Documentary,9.2,8
33312,tt7532654,People Like Me,2017.0,Drama,9.2,8
41894,tt9800480,Wadrari,2019.0,Documentary,9.2,5
10813,tt4325422,Double Digits: The Story of a Neighborhood Movie Star,2015.0,"Biography,Comedy,Documentary",9.2,28
27957,tt6563582,To Be Alone,2017.0,Drama,9.2,39
41204,tt9537008,Gini Helida Kathe,2019.0,Drama,9.2,232
11392,tt4419500,Forgive Me Father,2015.0,Drama,9.2,29
15933,tt5016726,1945. Kalniskes- luzio taskas/1945. Kalniskes- a breakpoint,2016.0,Documentary,9.2,11
7899,tt3773284,Stages,2015.0,Documentary,9.2,9
30128,tt6959628,Magyarok a Holdon,2017.0,Documentary,9.2,8
38682,tt8766510,The Year I Did Nothing,2019.0,"Comedy,Drama,Family",9.2,5
30234,tt6980696,Curzoner Kalom,2017.0,Drama,9.2,99
7687,tt3729268,The Goddess Project,2017.0,Documentary,9.2,43
11705,tt4460258,Of Dogs and Men,2016.0,"Crime,Documentary,News",9.2,13
27727,tt6520382,Wong Shun Leung: The King of Talking Hands,2016.0,Documentary,9.2,14
8914,tt3984282,Some Other Guys: The Story of the Big Three,2017.0,"Documentary,Music",9.2,5
24481,tt6095482,The Lambirds,2017.0,Documentary,9.2,5
705,tt10280636,Koytaa Ek Sangharsh,2019.0,Action,9.2,5
24467,tt6094934,Sardari's Enigma,2017.0,"Documentary,Drama,History",9.2,50
34068,tt7662752,You Go to My Head,2017.0,"Drama,Fantasy,Mystery",9.2,345
11053,tt4364398,Inside the Belly of a Dragon,2016.0,Adventure,9.2,13
22649,tt5868596,The Ukrainians,2015.0,"Documentary,War",9.2,153
24590,tt6101426,"The Motivation Factor: to Become Smart, Productive & Mentally Stable",2017.0,Documentary,9.2,18
40323,tt9186872,"Lo Scorzamauriello, tra mito e tradizione",2018.0,Documentary,9.2,5
28847,tt6736084,This Day Forward,2018.0,Family,9.2,56
24824,tt6130280,Ocean of Grass: Life on a Nebraska Sandhills Ranch,2018.0,Documentary,9.2,6
29093,tt6782478,Bienaventurados los mansos,2017.0,Documentary,9.2,5
40325,tt9187344,Iki Teker Bir ZiI,2018.0,Documentary,9.2,15
4558,tt2736168,High School 911,2016.0,"Action,Documentary,Drama",9.2,72
27650,tt6508926,The Last Stop,2017.0,Documentary,9.2,46
24636,tt6106738,Guidance through the Black Hole,2017.0,Documentary,9.2,16
34718,tt7793002,Guerrero,2017.0,"Comedy,Drama",9.2,22
16210,tt5052832,Back to One: First Position,2017.0,"Drama,Romance",9.2,8
41883,tt9799044,Baggage,2018.0,Drama,9.2,5
12011,tt4504358,Searching for Eddie Running Wolf,2015.0,"Documentary,Drama",9.2,5
11816,tt4473452,Matchbox Twenty Live North,2015.0,\N,9.2,5
28827,tt6733404,Care for the Child: The Story of the Bridgeport General,2018.0,Documentary,9.2,16
34338,tt7712826,Fathers and Sons,2018.0,Documentary,9.2,6
22509,tt5848362,Evolution of Organic,2017.0,"Documentary,History,News",9.2,6
29957,tt6922138,British Winters,2016.0,Drama,9.2,17
